Qwen3.6-35B	baseline	run-suite	rose-rx7900xt-vulkan-20260709-135107
Qwen3.6-35B	baseline	agentic-loop	rose-rx7900xt-vulkan-20260709-140544-agenticloop
Qwen3.6-35B	baseline	struct-output	rose-rx7900xt-vulkan-20260709-140632-structoutput
Qwen3.6-35B	baseline	instruction-following	rose-rx7900xt-vulkan-20260709-140733-instructionfollowing
Qwen3.6-35B	treatment	run-suite	rose-rx7900xt-vulkan-20260709-140820
Qwen3.6-35B	treatment	agentic-loop	rose-rx7900xt-vulkan-20260709-142213-agenticloop
Qwen3.6-35B	treatment	struct-output	rose-rx7900xt-vulkan-20260709-142259-structoutput
Qwen3.6-35B	treatment	instruction-following	rose-rx7900xt-vulkan-20260709-142350-instructionfollowing
Qwen3.6-27B	baseline	run-suite	rose-rx7900xt-vulkan-20260709-142436
Qwen3.6-27B	baseline	agentic-loop	rose-rx7900xt-vulkan-20260709-152043-agenticloop
Qwen3.6-27B	baseline	struct-output	rose-rx7900xt-vulkan-20260709-152156-structoutput
Qwen3.6-27B	baseline	instruction-following	rose-rx7900xt-vulkan-20260709-152904-instructionfollowing
Qwen3.6-27B	treatment	run-suite	rose-rx7900xt-vulkan-20260709-153025
Qwen3.6-27B	treatment	agentic-loop	rose-rx7900xt-vulkan-20260709-161606-agenticloop
Qwen3.6-27B	treatment	struct-output	rose-rx7900xt-vulkan-20260709-161728-structoutput
Qwen3.6-27B	treatment	instruction-following	rose-rx7900xt-vulkan-20260709-161932-instructionfollowing
